INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../test/main.cpp in debug mode
   Compiling ../../../src/rnn.cpp in debug mode
   Generating csim.exe
test in main function !!


Sample 0: Predict 5, Label 5
Sample 1: Predict 8, Label 8
Sample 2: Predict 3, Label 3
Sample 3: Predict 7, Label 7
Sample 4: Predict 8, Label 8
Sample 5: Predict 9, Label 9
Sample 6: Predict 2, Label 2
Sample 7: Predict 4, Label 4
Sample 8: Predict 0, Label 0
Sample 9: Predict 7, Label 7
Sample 10: Predict 4, Label 4
Sample 11: Predict 4, Label 4
Sample 12: Predict 8, Label 6
Sample 13: Predict 1, Label 1
Sample 14: Predict 3, Label 3
Sample 15: Predict 5, Label 1
Sample 16: Predict 2, Label 2
Sample 17: Predict 5, Label 5
Sample 18: Predict 3, Label 3
Sample 19: Predict 0, Label 0
Sample 20: Predict 2, Label 2
Sample 21: Predict 9, Label 9
Sample 22: Predict 5, Label 5
Sample 23: Predict 3, Label 3
Sample 24: Predict 2, Label 2
Sample 25: Predict 5, Label 5
Sample 26: Predict 8, Label 8
Sample 27: Predict 2, Label 2
Sample 28: Predict 2, Label 2
Sample 29: Predict 2, Label 2
Sample 30: Predict 0, Label 2
Sample 31: Predict 3, Label 3
Sample 32: Predict 6, Label 6
Sample 33: Predict 4, Label 4
Sample 34: Predict 0, Label 0
Sample 35: Predict 8, Label 8
Sample 36: Predict 1, Label 1
Sample 37: Predict 8, Label 8
Sample 38: Predict 6, Label 6
Sample 39: Predict 7, Label 7
Sample 40: Predict 1, Label 1
Sample 41: Predict 7, Label 7
Sample 42: Predict 1, Label 1
Sample 43: Predict 1, Label 1
Sample 44: Predict 8, Label 8
Sample 45: Predict 2, Label 2
Sample 46: Predict 1, Label 1
Sample 47: Predict 6, Label 6
Sample 48: Predict 7, Label 7
Sample 49: Predict 6, Label 6
Sample 50: Predict 5, Label 5
Sample 51: Predict 9, Label 9
Sample 52: Predict 1, Label 1
Sample 53: Predict 2, Label 2
Sample 54: Predict 2, Label 2
Sample 55: Predict 5, Label 5
Sample 56: Predict 7, Label 7
Sample 57: Predict 0, Label 0
Sample 58: Predict 4, Label 4
Sample 59: Predict 5, Label 5
Sample 60: Predict 3, Label 3
Sample 61: Predict 6, Label 6
Sample 62: Predict 8, Label 8
Sample 63: Predict 4, Label 4
Sample 64: Predict 6, Label 6
Sample 65: Predict 0, Label 0
Sample 66: Predict 4, Label 4
Sample 67: Predict 4, Label 4
Sample 68: Predict 0, Label 2
Sample 69: Predict 6, Label 6
Sample 70: Predict 0, Label 0
Sample 71: Predict 8, Label 8
Sample 72: Predict 1, Label 1
Sample 73: Predict 5, Label 5
Sample 74: Predict 9, Label 9
Sample 75: Predict 5, Label 5
Sample 76: Predict 2, Label 2
Sample 77: Predict 7, Label 7
Sample 78: Predict 8, Label 8
Sample 79: Predict 0, Label 0
Sample 80: Predict 4, Label 4
Sample 81: Predict 4, Label 4
Sample 82: Predict 3, Label 3
Sample 83: Predict 1, Label 1
Sample 84: Predict 6, Label 6
Sample 85: Predict 8, Label 8
Sample 86: Predict 7, Label 7
Sample 87: Predict 7, Label 7
Sample 88: Predict 0, Label 0
Sample 89: Predict 4, Label 4
Sample 90: Predict 9, Label 9
Sample 91: Predict 8, Label 8
Sample 92: Predict 1, Label 1
Sample 93: Predict 5, Label 5
Sample 94: Predict 8, Label 8
Sample 95: Predict 2, Label 2
Sample 96: Predict 3, Label 3
Sample 97: Predict 9, Label 9
Sample 98: Predict 0, Label 0
Sample 99: Predict 7, Label 7
Sample 100: Predict 4, Label 4
Sample 101: Predict 1, Label 1
Sample 102: Predict 7, Label 7
Sample 103: Predict 9, Label 9
Sample 104: Predict 8, Label 8
Sample 105: Predict 2, Label 2
Sample 106: Predict 4, Label 4
Sample 107: Predict 2, Label 2
Sample 108: Predict 4, Label 4
Sample 109: Predict 3, Label 3
Sample 110: Predict 5, Label 5
Sample 111: Predict 3, Label 3
Sample 112: Predict 3, Label 3
Sample 113: Predict 7, Label 7
Sample 114: Predict 2, Label 2
Sample 115: Predict 2, Label 2
Sample 116: Predict 5, Label 5
Sample 117: Predict 1, Label 1
Sample 118: Predict 2, Label 2
Sample 119: Predict 3, Label 3
Sample 120: Predict 1, Label 1
Sample 121: Predict 1, Label 1
Sample 122: Predict 7, Label 7
Sample 123: Predict 0, Label 0
Sample 124: Predict 3, Label 3
Sample 125: Predict 8, Label 8
Sample 126: Predict 0, Label 0
Sample 127: Predict 6, Label 6
Sample 128: Predict 4, Label 4
Sample 129: Predict 0, Label 0
Sample 130: Predict 4, Label 4
Sample 131: Predict 6, Label 6
Sample 132: Predict 5, Label 5
Sample 133: Predict 0, Label 0
Sample 134: Predict 1, Label 1
Sample 135: Predict 1, Label 1
Sample 136: Predict 8, Label 8
Sample 137: Predict 8, Label 8
Sample 138: Predict 1, Label 1
Sample 139: Predict 4, Label 4
Sample 140: Predict 6, Label 6
Sample 141: Predict 0, Label 2
Sample 142: Predict 2, Label 2
Sample 143: Predict 4, Label 4
Sample 144: Predict 5, Label 5
Sample 145: Predict 9, Label 9
Sample 146: Predict 6, Label 6
Sample 147: Predict 4, Label 4
Sample 148: Predict 2, Label 2
Sample 149: Predict 1, Label 1
Sample 150: Predict 1, Label 1
Sample 151: Predict 6, Label 6
Sample 152: Predict 5, Label 5
Sample 153: Predict 2, Label 2
Sample 154: Predict 0, Label 0
Sample 155: Predict 8, Label 8
Sample 156: Predict 6, Label 6
Sample 157: Predict 6, Label 6
Sample 158: Predict 5, Label 5
Sample 159: Predict 9, Label 9
Sample 160: Predict 3, Label 3
Sample 161: Predict 4, Label 1
Sample 162: Predict 6, Label 6
Sample 163: Predict 3, Label 3
Sample 164: Predict 7, Label 7
Sample 165: Predict 5, Label 5
Sample 166: Predict 0, Label 0
Sample 167: Predict 4, Label 4
Sample 168: Predict 2, Label 2
Sample 169: Predict 5, Label 5
Sample 170: Predict 5, Label 5
Sample 171: Predict 5, Label 5
Sample 172: Predict 9, Label 9
Sample 173: Predict 9, Label 9
Sample 174: Predict 3, Label 3
Sample 175: Predict 5, Label 5
Sample 176: Predict 2, Label 2
Sample 177: Predict 9, Label 9
Sample 178: Predict 4, Label 4
Sample 179: Predict 9, Label 9
Sample 180: Predict 3, Label 3
Sample 181: Predict 6, Label 6
Sample 182: Predict 1, Label 1
Sample 183: Predict 9, Label 9
Sample 184: Predict 9, Label 9
Sample 185: Predict 9, Label 9
Sample 186: Predict 1, Label 1
Sample 187: Predict 3, Label 3
Sample 188: Predict 6, Label 6
Sample 189: Predict 1, Label 1
Sample 190: Predict 2, Label 2
Sample 191: Predict 7, Label 7
Sample 192: Predict 5, Label 5
Sample 193: Predict 1, Label 1
Sample 194: Predict 5, Label 5
Sample 195: Predict 4, Label 4
Sample 196: Predict 8, Label 8
Sample 197: Predict 5, Label 5
Sample 198: Predict 9, Label 9
Sample 199: Predict 0, Label 0
Sample 200: Predict 0, Label 0
Sample 201: Predict 0, Label 0
Sample 202: Predict 0, Label 0
Sample 203: Predict 3, Label 3
Sample 204: Predict 0, Label 0
Sample 205: Predict 1, Label 1
Sample 206: Predict 9, Label 9
Sample 207: Predict 1, Label 1
Sample 208: Predict 9, Label 9
Sample 209: Predict 4, Label 4
Sample 210: Predict 6, Label 6
Sample 211: Predict 5, Label 5
Sample 212: Predict 6, Label 6
Sample 213: Predict 6, Label 6
Sample 214: Predict 5, Label 5
